OBJECTID,PARK_NO,PARK,the_geom,FACILITY_N,FACILITY_T,X_COORD,Y_COORD,GISOBJID
171,121,"BELL (GEORGE,JR.)",POINT (-87.79596488322936 41.93572411221885),BASEBALL JR/SOFTBALL,OUTDOOR,-87.79596488,41.93572411,1598
172,121,"BELL (GEORGE,JR.)",POINT (-87.79641177401126 41.93510806084886),PLAYGROUND,OUTDOOR,-87.79641177,41.93510806,1599
173,121,"BELL (GEORGE,JR.)",POINT (-87.79611639358234 41.93475064714307),SPRAY FEATURE,OUTDOOR,-87.79611639,41.93475065,1600
174,121,"BELL (GEORGE,JR.)",POINT (-87.79592819371278 41.934867715718866),TENNIS COURT,OUTDOOR,-87.79592819,41.93486772,1601
175,121,"BELL (GEORGE,JR.)",POINT (-87.79647828953836 41.93485063118674),TENNIS COURT,OUTDOOR,-87.79647829,41.93485063,1602
176,121,"BELL (GEORGE,JR.)",POINT (-87.79592929491271 41.93543344091264),VOLLEYBALL,OUTDOOR,-87.79592929,41.93543344,1603
177,1255,BERGER (ALBERT),POINT (-87.6551319089954 41.994858007135534),CULTURAL CENTER,SPECIAL,-87.65513191,41.99485801,1604
178,1255,BERGER (ALBERT),POINT (-87.65516867530914 41.994858224347944),GALLERY,SPECIAL,-87.65516868,41.99485823,1605
179,1255,BERGER (ALBERT),POINT (-87.65495184760344 41.99552006980866),PLAYGROUND,OUTDOOR,-87.65495185,41.99552007,1606
180,12,BESSEMER (HENRY),POINT (-87.55592295007344 41.73144126523037),ARTIFICIAL TURF FIELD,OUTDOOR,-87.55592295,41.73144127,1607
181,12,BESSEMER (HENRY),POINT (-87.5572305753976 41.733350260325814),BASKETBALL COURT,OUTDOOR,-87.55723058,41.73335026,1608
182,12,BESSEMER (HENRY),POINT (-87.55721915590163 41.73239496269776),FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.55721916,41.73239496,1609
183,12,BESSEMER (HENRY),POINT (-87.55780001193763 41.73331457028191),FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.55780001,41.73331457,1610
